Event,Date
Deep 2H2O,01/12/2019
Deep 2H2O,02/12/2019
Deep 2H2O,03/12/2019
Rain,12/12/2019
Rain,19/12/2019
Rain,21/12/2019
Rain,23/12/2019
Rain,25/12/2019
Rain,27/12/2019
Rain,29/12/2019
Rain,31/12/2019
Rain,02/01/2020
Rain,04/01/2020
Rain,06/01/2020
Rain,08/01/2020
Rain,10/01/2020
Rain,12/01/2020
Rain,14/01/2020
Rain,16/01/2020
Rain,18/01/2020
Rain,20/01/2020
Rain,22/01/2020
Rain,24/01/2020
Rain,26/01/2020
Rain,28/01/2020
Rain,30/01/2020
Rain,01/02/2020
Rain,03/02/2020
Rain,05/02/2020
Rain,07/02/2020