drel,Strata,Strategy,Campaign,d13C_avg,d13C_sem
-1.5,canopy,sensitive,ambient,4.182165131094877,22.79292443569842
-0.5,canopy,sensitive,ambient,-11.294928132321875,10.884416118884374
0.5,canopy,sensitive,ambient,126.12347031397286,95.51764037658265
1.5,canopy,sensitive,ambient,42.49075551691726,0.45396113821310985
2.5,canopy,sensitive,ambient,21.59645922757177,11.622353483055026
3.5,canopy,sensitive,ambient,15.82286775826978,9.25424833480762
4.5,canopy,sensitive,ambient,-15.513207946056882,7.983207795940715
5.5,canopy,sensitive,ambient,32.2970313615092,66.9739469311487
6.5,canopy,sensitive,ambient,-8.101616924425393,3.532646777760241
7.5,canopy,sensitive,ambient,-18.98258907169685,6.238663759411149
8.5,canopy,sensitive,ambient,-16.55779495370558,15.474487535277614
9.5,canopy,sensitive,ambient,-18.3109193700678,17.445272296922603
10.5,canopy,sensitive,ambient,-25.386299452264723,4.583299766169427
11.5,canopy,sensitive,ambient,-18.810583272634,2.9340962060612004
12.5,canopy,sensitive,ambient,-23.063889464591785,2.6087333085706135
13.5,canopy,sensitive,ambient,-19.44810343935486,1.44202947692696
14.5,canopy,sensitive,ambient,-17.504922784807125,1.3972797254058766
15.5,canopy,sensitive,ambient,-24.402006072648668,4.4579592776878325
16.5,canopy,sensitive,ambient,11.893743521829771,36.022184399497185
17.5,canopy,sensitive,ambient,-23.853758687443403,3.7630955786365994
18.5,canopy,sensitive,ambient,-11.753263727372687,14.567614808279112
19.5,canopy,sensitive,ambient,-26.771534698359684,1.5373229605135172
20.5,canopy,sensitive,ambient,-39.671928216530034,NA
21.5,canopy,sensitive,ambient,-19.994592054136202,NA
22.5,canopy,sensitive,ambient,-24.4617900684567,NA
23.5,canopy,sensitive,ambient,75.00640722813247,103.93539531090967
24.5,canopy,sensitive,ambient,112.26644774554381,127.02581581918052
25.5,canopy,sensitive,ambient,87.31417563154123,106.1995476422042
26.5,canopy,sensitive,ambient,-23.978757187923584,2.212864155841965
27.5,canopy,sensitive,ambient,-28.73578176973989,0.6863939227817433
28.5,canopy,sensitive,ambient,-23.092893605661793,6.814260744488956
29.5,canopy,sensitive,ambient,-34.617504987814726,20.106485865575074
-1.5,canopy,tolerant,ambient,-16.334437482608553,11.332948792938199
-0.5,canopy,tolerant,ambient,-4.063419794046187,10.948644445028846
0.5,canopy,tolerant,ambient,186.4615164532702,63.35002209850256
1.5,canopy,tolerant,ambient,67.87949405112158,7.955502334456553
2.5,canopy,tolerant,ambient,17.30062961504129,20.542468649055074
3.5,canopy,tolerant,ambient,-12.969068310996324,8.838803163617483
4.5,canopy,tolerant,ambient,-24.58903559500882,7.985001573029086
5.5,canopy,tolerant,ambient,-28.433967160046294,8.114221656543492
6.5,canopy,tolerant,ambient,-24.18348398348935,10.15397666029945
7.5,canopy,tolerant,ambient,-24.230256839117,6.796862469281361
8.5,canopy,tolerant,ambient,-20.10233735551151,7.6514692161806455
9.5,canopy,tolerant,ambient,-27.47292836152587,3.03096180895505
10.5,canopy,tolerant,ambient,-21.950284857705192,4.100188168216649
11.5,canopy,tolerant,ambient,-31.470415171737265,4.626703576297706
12.5,canopy,tolerant,ambient,-38.65798163544234,4.3770074715967136
13.5,canopy,tolerant,ambient,-37.31168966653989,5.429749852198821
14.5,canopy,tolerant,ambient,-31.356331573708218,7.267801803335795
15.5,canopy,tolerant,ambient,-36.47586728902334,6.393516704421893
16.5,canopy,tolerant,ambient,-41.06734873412272,2.3832991272146202
17.5,canopy,tolerant,ambient,-45.6588301792221,5.974338793534711
18.5,canopy,tolerant,ambient,-34.34917041509058,3.223596335683678
19.5,canopy,tolerant,ambient,-29.451673208524536,4.86233657822538
20.5,canopy,tolerant,ambient,-30.52794714086545,8.166573203665253
21.5,canopy,tolerant,ambient,-38.18161924997925,7.176245395036158
22.5,canopy,tolerant,ambient,-31.017100563131415,9.990168546070567
23.5,canopy,tolerant,ambient,-25.587133489646234,5.4289080996853105
24.5,canopy,tolerant,ambient,-30.88953719215027,2.412784545576651
25.5,canopy,tolerant,ambient,-16.723785289583166,1.06985178160287
26.5,canopy,tolerant,ambient,-26.167816940748185,6.305865459944544
27.5,canopy,tolerant,ambient,-23.556809061629544,6.043068973472262
28.5,canopy,tolerant,ambient,-35.2329312515831,7.196673260812389
29.5,canopy,tolerant,ambient,-18.20710139335417,NA
-1.5,understory,sensitive,ambient,-28.542129257735077,2.4709923502695386
-0.5,understory,sensitive,ambient,-27.879309525454612,0.7266080501744384
0.5,understory,sensitive,ambient,156.56398623865195,15.60002346200488
1.5,understory,sensitive,ambient,52.86924170690647,11.063037781260553
2.5,understory,sensitive,ambient,17.67922424245552,9.172567472237018
3.5,understory,sensitive,ambient,6.687942400311438,2.97145938403583
4.5,understory,sensitive,ambient,-4.025009737668379,1.2757844335870663
5.5,understory,sensitive,ambient,-8.873181158939607,2.086539127788348
6.5,understory,sensitive,ambient,-17.769507108079058,2.487971180230995
7.5,understory,sensitive,ambient,-21.85912255456561,2.5350077219350227
8.5,understory,sensitive,ambient,-15.517965859303441,3.3219327296399825
9.5,understory,sensitive,ambient,-25.3986959211529,4.92500249201895
10.5,understory,sensitive,ambient,-20.69104601341515,1.9571680542823295
11.5,understory,sensitive,ambient,-22.598008216455494,0.5190785622569504
12.5,understory,sensitive,ambient,-25.882183897816283,0.231663115127418
13.5,understory,sensitive,ambient,-20.8792342218274,1.439976960571201
14.5,understory,sensitive,ambient,-19.214823845355426,0.4748015146649251
15.5,understory,sensitive,ambient,-28.615517026178516,2.1042790998972833
16.5,understory,sensitive,ambient,-33.46632378021339,0.8161297416585781
17.5,understory,sensitive,ambient,-35.51123566001712,3.5393435700027758
18.5,understory,sensitive,ambient,-32.442950746286435,0.5229924630331889
19.5,understory,sensitive,ambient,-29.074058324911416,2.8926437097621807
20.5,understory,sensitive,ambient,-17.98480546723685,8.10660348211823
21.5,understory,sensitive,ambient,-19.171472101002777,4.413780379696305
22.5,understory,sensitive,ambient,-13.768496943178835,1.6304508972903133
23.5,understory,sensitive,ambient,-11.643428921184585,6.377409123258401
24.5,understory,sensitive,ambient,-25.765649221119496,1.3294202781126407
25.5,understory,sensitive,ambient,-22.745047145424326,3.6888185652519017
26.5,understory,sensitive,ambient,-20.46097938178302,12.521017881298102
27.5,understory,sensitive,ambient,-23.314282208845423,1.1301590969512414
28.5,understory,sensitive,ambient,-22.169602539333198,1.8978962514791757
29.5,understory,sensitive,ambient,-26.77965716513304,6.838950286632403
-1.5,understory,tolerant,ambient,-25.024769492219782,2.0851821016727214
-0.5,understory,tolerant,ambient,-23.724616936927752,1.2866024730406753
0.5,understory,tolerant,ambient,92.36641770808484,28.50072099185765
1.5,understory,tolerant,ambient,88.78666029103017,34.58239838448489
2.5,understory,tolerant,ambient,28.655252649710906,27.25108886161887
3.5,understory,tolerant,ambient,0.4910366652973599,6.079117190149928
4.5,understory,tolerant,ambient,-2.0143273043430123,8.829184694353085
5.5,understory,tolerant,ambient,1.6002533697846697,18.605765936019818
6.5,understory,tolerant,ambient,-12.399775081079792,5.883418667965524
7.5,understory,tolerant,ambient,-5.970178061291325,13.238151098577557
8.5,understory,tolerant,ambient,-14.132847690233506,6.114965793564273
9.5,understory,tolerant,ambient,-22.32422551581203,8.251016614653839
10.5,understory,tolerant,ambient,-20.055760319404264,8.764056059810125
11.5,understory,tolerant,ambient,-16.284133764465874,3.8517583270755154
12.5,understory,tolerant,ambient,-19.544873761094465,5.783557255131632
13.5,understory,tolerant,ambient,-12.125266875267979,8.787520847469592
14.5,understory,tolerant,ambient,-2.507172230488287,11.956375839149059
15.5,understory,tolerant,ambient,-12.173673885098562,10.100592904828547
16.5,understory,tolerant,ambient,-28.29195652215065,7.657677891173893
17.5,understory,tolerant,ambient,-28.154207288728756,6.635989764829718
18.5,understory,tolerant,ambient,-27.587859307152208,2.4313698470749503
19.5,understory,tolerant,ambient,-22.89035224243007,4.05788153523796
20.5,understory,tolerant,ambient,-25.509515396839074,7.386724244675278
21.5,understory,tolerant,ambient,-19.480596773464118,6.021169793898386
22.5,understory,tolerant,ambient,-28.85331436539129,7.442169232999598
23.5,understory,tolerant,ambient,-21.976774699619494,10.236244482065896
24.5,understory,tolerant,ambient,-15.205029208090698,4.076015909794267
25.5,understory,tolerant,ambient,-14.379007035626799,2.0515669876066283
26.5,understory,tolerant,ambient,-8.546044402150873,7.630667168116538
27.5,understory,tolerant,ambient,-22.153286074145733,3.98402922566992
28.5,understory,tolerant,ambient,-20.98127941681593,4.918436778786185
29.5,understory,tolerant,ambient,-25.593286878315524,9.935975286252932
-6.5,canopy,sensitive,drought,-45.6932540861899,NA
-5.5,canopy,sensitive,drought,23.63204034913191,NA
-4.5,canopy,sensitive,drought,18.93915139216985,NA
-3.5,canopy,sensitive,drought,7.06576526481051,10.049069714838138
-2.5,canopy,sensitive,drought,15.290518567127448,NA
-1.5,canopy,sensitive,drought,28.921109262926798,NA
-0.5,canopy,sensitive,drought,-15.585323826664762,25.808700094326102
0.5,canopy,sensitive,drought,269.2758845970685,14.414341990449515
1.5,canopy,sensitive,drought,141.56201170441727,8.790112880173735
2.5,canopy,sensitive,drought,100.84442308799521,6.15126896551824
3.5,canopy,sensitive,drought,74.04509939661284,17.640329619714603
4.5,canopy,sensitive,drought,47.36081430182102,13.967694681668675
5.5,canopy,sensitive,drought,37.94393658134949,6.9723476306975405
6.5,canopy,sensitive,drought,22.5724330914151,1.4917744953331
7.5,canopy,sensitive,drought,21.138835478215363,0.7098262753277371
8.5,canopy,sensitive,drought,5.380033091508956,11.413777727518095
9.5,canopy,sensitive,drought,21.58681676714384,24.770499825052337
10.5,canopy,sensitive,drought,-2.6240944627882676,9.112686237026468
11.5,canopy,sensitive,drought,-1.658465743977021,12.929832987740511
12.5,canopy,sensitive,drought,-7.3717594599148395,5.713668384612291
13.5,canopy,sensitive,drought,14.733796289706255,9.915129082280306
14.5,canopy,sensitive,drought,-4.2819880203988605,14.708611947799618
15.5,canopy,sensitive,drought,24.207771694114598,32.07363335333744
16.5,canopy,sensitive,drought,-8.350636434354826,19.408525781746373
17.5,canopy,sensitive,drought,-10.417719682402183,3.6406303020770303
18.5,canopy,sensitive,drought,-1.107042804039167,6.614760502053487
19.5,canopy,sensitive,drought,-17.224438504274808,0.83351949344784515
20.5,canopy,sensitive,drought,-6.594049884126495,0.7709879378898549
21.5,canopy,sensitive,drought,-13.322943749027775,4.772628086088439
22.5,canopy,sensitive,drought,-2.999419028831335,1.9283932328862345
23.5,canopy,sensitive,drought,-27.740632681476,7.128719480644401
24.5,canopy,sensitive,drought,-3.7321612845434986,3.123282490538211
25.5,canopy,sensitive,drought,-15.687864720737283,9.634074698288954
26.5,canopy,sensitive,drought,-22.615035015091465,4.282392416153933
27.5,canopy,sensitive,drought,-17.367033190837784,1.6713661030128177
28.5,canopy,sensitive,drought,-26.246289600920548,2.1330982317739546
29.5,canopy,sensitive,drought,-23.225281696541124,6.226229936530772
-6.5,canopy,tolerant,drought,-9.186423709077548,9.935757338633476
-5.5,canopy,tolerant,drought,-5.7027318824836195,21.700377173442803
-4.5,canopy,tolerant,drought,-0.6446718840473336,15.69320460304239
-3.5,canopy,tolerant,drought,-1.9302448548218383,20.093463718615133
-2.5,canopy,tolerant,drought,-18.39834458163965,11.675794563243798
-1.5,canopy,tolerant,drought,-22.96678299863636,8.34903627785231
-0.5,canopy,tolerant,drought,-11.16309286283987,4.905869886115886
0.5,canopy,tolerant,drought,375.128588299307,174.41652881324725
1.5,canopy,tolerant,drought,110.59915563215101,44.0092622840123
2.5,canopy,tolerant,drought,63.49372485508155,30.578518501786863
3.5,canopy,tolerant,drought,46.31449035771263,8.247839349660557
4.5,canopy,tolerant,drought,24.57918938760429,9.60885451423221
5.5,canopy,tolerant,drought,23.528988389664928,18.790257429408705
6.5,canopy,tolerant,drought,7.273409429766957,10.488995043974512
7.5,canopy,tolerant,drought,37.58599729450361,37.835598280076475
8.5,canopy,tolerant,drought,11.567217243673504,15.215408626510717
9.5,canopy,tolerant,drought,3.424740680416595,8.173096282996072
10.5,canopy,tolerant,drought,-4.717735882840314,2.8346669385262966
11.5,canopy,tolerant,drought,-13.959758560590004,4.109213037488235
12.5,canopy,tolerant,drought,-21.942444012322547,6.0195446241825445
13.5,canopy,tolerant,drought,-13.640290456753442,2.631958164912445
14.5,canopy,tolerant,drought,-20.00355075937229,1.0909625690560842
15.5,canopy,tolerant,drought,-14.771957240144186,6.044357112921182
16.5,canopy,tolerant,drought,-22.0716323736799,2.542163216053056
17.5,canopy,tolerant,drought,-20.198470948228902,3.6493111137242282
18.5,canopy,tolerant,drought,-23.345208741258155,4.658256226878724
19.5,canopy,tolerant,drought,-15.003858230785875,2.7486937139718273
20.5,canopy,tolerant,drought,-23.111113770341017,2.395273205985176
21.5,canopy,tolerant,drought,-18.70227524783954,4.37055072983013
22.5,canopy,tolerant,drought,-15.076399464459618,1.1951941127807273
23.5,canopy,tolerant,drought,-29.541012043348662,9.394689242409232
24.5,canopy,tolerant,drought,-20.995822146685786,7.653794514505311
25.5,canopy,tolerant,drought,-20.12991223996849,2.690545794051104
26.5,canopy,tolerant,drought,-21.776435140624667,1.2509256953841092
27.5,canopy,tolerant,drought,-20.707336055229835,2.503033004134816
28.5,canopy,tolerant,drought,-26.433601236034278,1.5096709812612297
29.5,canopy,tolerant,drought,-25.986304279122994,4.625853622143362
-6.5,understory,sensitive,drought,-21.5641984887294,4.431159528746417
-5.5,understory,sensitive,drought,-16.567278763473333,1.1498920241491617
-4.5,understory,sensitive,drought,-20.80624909906575,1.624247901078257
-3.5,understory,sensitive,drought,-19.02897671561331,3.0368953538387777
-2.5,understory,sensitive,drought,-15.798198422121088,1.278588680176729
-1.5,understory,sensitive,drought,-20.686733971801512,0.4981398991392593
-0.5,understory,sensitive,drought,-19.097501329572456,3.073924046445707
0.5,understory,sensitive,drought,98.21547508485736,27.004510782473265
1.5,understory,sensitive,drought,38.274294989691434,14.340044475580187
2.5,understory,sensitive,drought,29.776220471174785,13.31138039077955
3.5,understory,sensitive,drought,20.798264928295982,8.480961708675157
4.5,understory,sensitive,drought,12.685190413556098,4.47775408912107
5.5,understory,sensitive,drought,9.688984924254243,7.360574065749811
6.5,understory,sensitive,drought,5.498885575551407,1.7397802243801532
7.5,understory,sensitive,drought,0.4229566091818603,1.3458003995487096
8.5,understory,sensitive,drought,-4.604767208801806,4.806434176734751
9.5,understory,sensitive,drought,-4.372883230903821,3.772680052220212
10.5,understory,sensitive,drought,-4.1409992530058375,2.8748906135028642
11.5,understory,sensitive,drought,-3.7690849983254817,0.6587532818391323
12.5,understory,sensitive,drought,-7.361551067621225,1.4894459644797013
13.5,understory,sensitive,drought,-6.349116123218245,2.221913668241674
14.5,understory,sensitive,drought,-9.405638065874333,3.7039849852688183
15.5,understory,sensitive,drought,-9.567653795050713,3.4310709756914353
16.5,understory,sensitive,drought,-10.688740796102737,2.7916433050383427
17.5,understory,sensitive,drought,-12.472712932686518,3.914690375975093
18.5,understory,sensitive,drought,-11.836152747698325,2.0507078403480867
19.5,understory,sensitive,drought,-11.692679892617075,0.8323998002928384
20.5,understory,sensitive,drought,-13.432452636496123,0.8191768776459948
21.5,understory,sensitive,drought,-14.113042543266717,0.31297884785352603
22.5,understory,sensitive,drought,-13.15997405807255,0.6696719095157656
23.5,understory,sensitive,drought,-16.773194185033766,0.8583483728632509
24.5,understory,sensitive,drought,-15.188721492777615,1.3316277169830508
25.5,understory,sensitive,drought,-16.847238066894985,2.4017806793504106
26.5,understory,sensitive,drought,-17.646687954892613,2.344039369621024
27.5,understory,sensitive,drought,-18.055070690202484,1.5747703267995299
28.5,understory,sensitive,drought,-18.65509657316282,0.94129497274291285
29.5,understory,sensitive,drought,-18.09448199872603,1.185094195393088
-6.5,understory,tolerant,drought,-10.787239323823682,18.324031611965886
-5.5,understory,tolerant,drought,-4.020093128543754,14.164127897611632
-4.5,understory,tolerant,drought,-19.192172344216452,3.6918927325792406
-3.5,understory,tolerant,drought,-20.12308893460372,3.7984383303777554
-2.5,understory,tolerant,drought,-10.92591612471864,4.036630199493973
-1.5,understory,tolerant,drought,-7.504453741729059,5.900705983765017
-0.5,understory,tolerant,drought,-20.292478594820036,1.0884436342044306
0.5,understory,tolerant,drought,86.38011982798044,56.43154837676917
1.5,understory,tolerant,drought,57.547767847887975,39.3630565432032
2.5,understory,tolerant,drought,36.04068906798694,20.967807226404094
3.5,understory,tolerant,drought,25.722719426900035,14.416595498106258
4.5,understory,tolerant,drought,0.9079149016218753,10.415885486886236
5.5,understory,tolerant,drought,13.904789871254122,28.33482214119049
6.5,understory,tolerant,drought,-0.09121911664255933,13.699333884179028
7.5,understory,tolerant,drought,-8.573912086527834,9.515108679506575
8.5,understory,tolerant,drought,-13.918999403778443,14.23967684784166
9.5,understory,tolerant,drought,-9.028417076141476,10.975499614767644
10.5,understory,tolerant,drought,-5.4508527610616495,6.134288937897624
11.5,understory,tolerant,drought,-11.966669953087303,8.961686742580277
12.5,understory,tolerant,drought,-17.17340353741534,10.305450875449289
13.5,understory,tolerant,drought,0.3508543617959126,13.596578101018522
14.5,understory,tolerant,drought,-8.926805171476365,8.063854804539114
15.5,understory,tolerant,drought,-12.080026957870505,6.063137137647536
16.5,understory,tolerant,drought,-12.799780901137897,3.6950387620218517
17.5,understory,tolerant,drought,-7.4279902203923704,8.745581736284214
18.5,understory,tolerant,drought,9.183203314042917,22.823347183874073
19.5,understory,tolerant,drought,-16.272135959466784,4.684110979533662
20.5,understory,tolerant,drought,-18.029129174278665,6.518734144160954
21.5,understory,tolerant,drought,-17.080294212362915,3.407160448681058
22.5,understory,tolerant,drought,-7.175745713250674,7.8202801506002695
23.5,understory,tolerant,drought,-17.489748634924347,4.595697616486375
24.5,understory,tolerant,drought,-16.900252408255007,6.139467081157981
25.5,understory,tolerant,drought,-18.472019309258776,7.672345231758201
26.5,understory,tolerant,drought,-19.467422461363803,7.646294095211032
27.5,understory,tolerant,drought,-14.893615711248351,8.593388922285158
28.5,understory,tolerant,drought,-16.96318651059314,8.972694498565215
29.5,understory,tolerant,drought,-16.034298629904537,10.297066954703586
